"Date","Period","ResponseID","Survey","PELICAN_TOTAL","PELICAN_TOTAL_N","PELICAN_INJURED","PELICAN_INJURED_N","PELICAN_DEAD","PELICAN_DEAD_N","PELICAN_FED","PELICAN_FED_TYPE","PELICAN_FED_TYPE_TEXT","SECTION","TIME_MORNING","TIME_MIDDAY","TIME_EVENING","TIME_LATE","TIME_number"
"9/22/2023","Unregulated","R_092201","In Person","No",NA,"No",NA,"No",NA,"Yes","I'm not sure",NA,"B","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092202","In Person","Yes",4,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092203","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092204","In Person","No",12,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092205","In Person","Yes",20,"Yes",20,"No",NA,"No","I'm not sure",NA,"A","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092206","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092207","In Person","No",NA,"No",NA,"No",10,"No",NA,NA,"C","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092208","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092209","In Person","No",NA,"No",NA,"No",NA,"Yes","Dead fish or used bait",NA,"C","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092210","In Person","Yes",3,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/22/2023","Unregulated","R_092211","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092401","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092402","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092403","In Person","Yes",12,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/24/2023","Unregulated","R_092404","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092405","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/24/2023","Unregulated","R_092406","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092407","In Person","Yes",5,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092408","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092409","In Person","No",NA,"No",NA,"No",NA,"Yes","Something else","Not fed, eating bait","B","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092410","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/27/2023","Unregulated","R_092701","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/27/2023","Unregulated","R_092702","In Person","Yes",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/27/2023","Unregulated","R_092703","In Person","Yes",30,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","Yes",2
"9/27/2023","Unregulated","R_092704","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093001","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093002","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/30/2023","Unregulated","R_093003","In Person","Yes",20,"No",2,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/30/2023","Unregulated","R_093004","In Person","No",8,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"9/30/2023","Unregulated","R_093005","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093006","In Person","Yes",8,"No",NA,"No",NA,"Yes","Dead fish or used bait",NA,"B","Yes","No","No","Yes",2
"9/30/2023","Unregulated","R_093007","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093008","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093009","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"10/6/2023","Unregulated","R_100601","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100602","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100603","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"10/6/2023","Unregulated","R_100604","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100605","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"10/6/2023","Unregulated","R_100606","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100607","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100608","In Person","Yes",5,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/8/2023","Unregulated","R_100801","In Person","Yes",15,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"10/8/2023","Unregulated","R_100802","In Person","Yes",30,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","Yes",3
"10/8/2023","Unregulated","R_100803","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"10/8/2023","Unregulated","R_100804","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"10/8/2023","Unregulated","R_100805","In Person","Yes",3,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"10/8/2023","Unregulated","R_100806","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"10/8/2023","Unregulated","R_100807","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"10/8/2023","Unregulated","R_100808","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"10/8/2023","Unregulated","R_100809","In Person","Yes",20,"No",NA,"No",NA,"Yes","Dead fish or used bait,Human food (bread, chips, popcorn, etc.)",NA,"C","Yes","Yes","No","No",2
"10/8/2023","Unregulated","R_100810","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"10/8/2023","Unregulated","R_100811","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"10/8/2023","Unregulated","R_100812","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","Yes",2
"10/8/2023","Unregulated","R_100813","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/11/2023","Unregulated","R_101101","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"10/11/2023","Unregulated","R_101102","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","Yes",3
"10/11/2023","Unregulated","R_101103","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"10/11/2023","Unregulated","R_101104","In Person","Yes",3,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"10/11/2023","Unregulated","R_101105","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"10/11/2023","Unregulated","R_101106","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"10/11/2023","Unregulated","R_101107","In Person","Yes",NA,"No",NA,"Yes",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"10/14/2023","Unregulated","R_101401","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","Yes",3
"10/14/2023","Unregulated","R_101402","In Person","Yes",15,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"10/14/2023","Unregulated","R_101403","In Person","Yes",100,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"10/14/2023","Unregulated","R_101404","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"10/14/2023","Unregulated","R_101405","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"10/14/2023","Unregulated","R_101406","In Person","Yes",3,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"10/14/2023","Unregulated","R_101407","In Person","Yes",6,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","Yes",3
"10/14/2023","Unregulated","R_101408","In Person","Yes",5,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/14/2023","Unregulated","R_101409","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/14/2023","Unregulated","R_101410","In Person","Yes",NA,"Yes",NA,"No",NA,"Yes","Dead fish or used bait",NA,"B","No","Yes","No","No",1
"10/14/2023","Unregulated","R_101411","In Person","Yes",30,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"10/20/2023","Unregulated","R_102001","In Person","Yes",5,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"10/20/2023","Unregulated","R_102002","In Person","Yes",4,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"10/20/2023","Unregulated","R_102003","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"10/20/2023","Unregulated","R_102004","In Person","Yes",NA,"Yes",1,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"10/20/2023","Unregulated","R_102005","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"10/20/2023","Unregulated","R_102006","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","Yes",2
"10/22/2023","Unregulated","R_102201","In Person","Yes",6,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"10/22/2023","Unregulated","R_102202","In Person","Yes",1,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"10/22/2023","Unregulated","R_102203","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"10/22/2023","Unregulated","R_102204","In Person","Yes",1,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"10/22/2023","Unregulated","R_102205","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"10/22/2023","Unregulated","R_102206","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"10/22/2023","Unregulated","R_102207","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"10/25/2023","Unregulated","R_102501","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"10/25/2023","Unregulated","R_102502","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"10/25/2023","Unregulated","R_102503","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"10/25/2023","Unregulated","R_102504","In Person","Yes",5,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"10/28/2023","Unregulated","R_102801","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"10/28/2023","Unregulated","R_102802","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","No",1
"10/28/2023","Unregulated","R_102803","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"10/28/2023","Unregulated","R_102804","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"10/28/2023","Unregulated","R_102805","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"10/28/2023","Unregulated","R_102806","In Person","Yes",6,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"11/3/2023","Unregulated","R_110301","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/3/2023","Unregulated","R_110302","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/3/2023","Unregulated","R_110303","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/3/2023","Unregulated","R_110304","In Person","Yes",3,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110501","In Person","Yes",1,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/5/2023","Unregulated","X_110502","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/5/2023","Unregulated","X_110503","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/5/2023","Unregulated","X_110504","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110505","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","Yes",3
"11/5/2023","Unregulated","X_110506","In Person","Yes",25,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","Yes",2
"11/5/2023","Unregulated","X_110507","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110508","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110509","In Person","Yes",1,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/5/2023","Unregulated","X_110510","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110511","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","Yes",3
"11/5/2023","Unregulated","X_110512","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110513","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110514","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/5/2023","Unregulated","X_110515","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","Yes",3
"11/5/2023","Unregulated","X_110516","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"11/5/2023","Unregulated","X_110517","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110518","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110519","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"11/5/2023","Unregulated","X_110520","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110521","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"11/5/2023","Unregulated","X_110522","In Person","Yes",1,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"11/8/2023","Unregulated","X_110801","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/8/2023","Unregulated","X_110802","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/8/2023","Unregulated","X_110803","In Person","Yes",50,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/8/2023","Unregulated","X_110804","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/8/2023","Unregulated","X_110805","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/8/2023","Unregulated","X_110806","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/8/2023","Unregulated","X_110807","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/8/2023","Unregulated","X_110808","In Person","Yes",5,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/8/2023","Unregulated","X_110809","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/8/2023","Unregulated","X_110810","In Person","Yes",12,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/8/2023","Unregulated","X_110811","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/8/2023","Unregulated","X_110812","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"11/8/2023","Unregulated","X_110813","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"C","No","Yes","No","No",1
"11/8/2023","Unregulated","X_110814","In Person","Yes",50,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"11/8/2023","Unregulated","X_110815","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"C","Yes","Yes","No","No",2
"11/11/2023","Unregulated","X_111101","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/11/2023","Unregulated","X_111102","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/11/2023","Unregulated","X_111103","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","Yes",3
"11/11/2023","Unregulated","X_111104","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/11/2023","Unregulated","X_111105","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","Yes",3
"11/11/2023","Unregulated","X_111106","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/11/2023","Unregulated","X_111107","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"11/11/2023","Unregulated","X_111108","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","Yes",3
"11/11/2023","Unregulated","X_111109","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"11/11/2023","Unregulated","X_111110","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","Yes",3
"11/11/2023","Unregulated","X_111111","In Person","Yes",3,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/11/2023","Unregulated","X_111112","In Person","Yes",4,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/11/2023","Unregulated","X_111113","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/11/2023","Unregulated","X_111114","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/11/2023","Unregulated","X_111115","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","Yes",3
"11/11/2023","Unregulated","X_111116","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/11/2023","Unregulated","X_111117","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/11/2023","Unregulated","X_111118","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
"11/11/2023","Unregulated","X_111119","In Person","No",0,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"11/11/2023","Unregulated","X_111120","In Person","Yes",1,"No",NA,"No",NA,"No",NA,NA,"B","No","Yes","No","No",1
