Date,Period,ResponseID,Survey,CONSENT,REPEAT,REPEAT_WHEN,AGE,EMPLOY,GENDER,INCOME,RESIDENT,ZIPCODE,VISIT_WHY,VISIT_WHY_OTHER,VISIT_FROM,PELICAN_TOTAL,PELICAN_TOTAL_N,PELICAN_INJURED,PELICAN_INJURED_N,PELICAN_DEAD,PELICAN_DEAD_N,PELICAN_FED,PELICAN_FED_TYPE,PELICAN_FED_TYPE_TEXT,TIME,REASON,REASON_TEXT,COMPANY,COMPANY_TEXT,LOCATION,FREQUENCY,TACKLE_C,TTACKLE_C,TACKLE_T,TTACKLE_T,ISSUE_CONCERN,ISSUE_CONFIDENT,ISSUE_CUT,ISSUE_NORM,ACTION_GEAR,ACTION_ZONE,ACTION_ENFORCE,ACTION_DEMOLISH,ACTION_VIDEO,REG_AWARE,REG_AFFECT.R,REG_DIFFICULT,REG_ENOUGH.R,REG_CAUSE.R,REG_SNORM,REG_REDUCE,REG_ENFORCE.R,REG_DNORM
9/22/2023,Unregulated,R_092201,In Person,I agree,No,NA,40,Full-time,Male,"$50,001 - $75,000",Yes,33634,NA,NA,NA,No,NA,No,NA,No,NA,Yes,I'm not sure,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"No, just me",NA,Section B (markers 108-146),Once or twice a month,All of them,Two of them,NA,NA,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Slightly effective,Not effective at all,Very effective,Not effective at all,Slightly effective,Yes,Disagree,Somewhat agree,Strongly disagree,Strongly agree,Agree,Somewhat disagree,Somewhat agree,Agree
9/22/2023,Unregulated,R_092202,In Person,I agree,No,NA,25,Full-time,Male,"$50,001 - $75,000",Yes,33712,NA,NA,NA,Yes,4,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"No, just me",NA,Section B (markers 108-146),Once or twice a month,Two of them,Two of them,NA,NA,Agree,Agree,Strongly disagree,Somewhat agree,Moderately effective,Not effective at all,Very effective,Not effective at all,Slightly effective,Yes,Disagree,Disagree,Somewhat disagree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Agree
9/22/2023,Unregulated,R_092203,In Person,I agree,No,NA,64,Part-time,Male,"$50,001 - $75,000",Yes,34222,NA,NA,NA,Yes,2,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"No, just me",NA,Section A (markers 147-172),A few times per year,All of them,Three of them,NA,NA,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Slightly effective,Not effective at all,Extremely effective,Not effective at all,Moderately effective,Yes,Disagree,Somewhat disagree,Disagree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree
9/22/2023,Unregulated,R_092204,In Person,I agree,No,NA,20,Student,Male,"$25,000 or less",No,NA,Something else,School,MA,No,12,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"Yes, with a friend",NA,Section B (markers 108-146),Once or twice a month,All of them,All of them,NA,NA,Somewhat agree,Agree,Disagree,Somewhat agree,Not effective at all,Slightly effective,Moderately effective,Not effective at all,Extremely effective,No,NA,NA,NA,NA,NA,NA,NA,NA
9/22/2023,Unregulated,R_092205,In Person,I agree,No,NA,60,Retired,Male,"$75,001 - $100,000",No,34608,Something else,Seasonal resident,PA,Yes,20,Yes,20,No,NA,No,I'm not sure,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with a friend",NA,Section A (markers 147-172),Once or twice a month,All of them,All of them,NA,NA,Agree,Agree,Somewhat disagree,Agree,Very effective,Not effective at all,Slightly effective,Moderately effective,Not effective at all,Yes,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,NA,Somewhat agree,Strongly agree
9/22/2023,Unregulated,R_092206,In Person,I agree,No,NA,42,Full-time,Female,"$75,001 - $100,000",Yes,33805,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food,Something else",Enjoying the openness of the pier,"Yes, with my spouse or significant other",NA,Section B (markers 108-146),Once or twice a month,NA,NA,Three of them,Three of them,Agree,Strongly agree,Somewhat agree,Somewhat agree,Slightly effective,Not effective at all,Very effective,Moderately effective,Extremely effective,Yes,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree
9/22/2023,Unregulated,R_092207,In Person,I agree,No,NA,NA,Part-time,Male,NA,Yes,33594,NA,NA,NA,No,NA,No,NA,No,10,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"No, just me",NA,Section C (markers 73-107),At least once a week,NA,NA,Three of them,Four of them,Agree,Strongly agree,NA,Strongly agree,Not effective at all,Not effective at all,Slightly effective,Moderately effective,Very effective,No,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
9/22/2023,Unregulated,R_092208,In Person,I agree,No,NA,19,Full-time,Female,"$25,000 or less",Yes,33716,NA,NA,NA,Yes,2,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for my own food,NA,"Yes, with my spouse or significant other",NA,Section C (markers 73-107),Once or twice a month,NA,NA,Two of them,One of them,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Moderately effective,Slightly effective,Slightly effective,Not effective at all,Slightly effective,Yes,Somewhat disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat disagree,Agree
9/22/2023,Unregulated,R_092209,In Person,I agree,No,NA,25,Full-time,Male,"$50,001 - $75,000",Yes,33716,NA,NA,NA,No,NA,No,NA,No,NA,Yes,Dead fish or used bait,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"No, just me",NA,Section C (markers 73-107),At least once a week,NA,NA,All of them,All of them,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Not effective at all,Not effective at all,Very effective,Very effective,Extremely effective,Yes,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree
9/22/2023,Unregulated,R_092210,In Person,I agree,No,NA,19,Student,Male,"$25,000 or less",No,NA,Something else,College,NJ,Yes,3,No,NA,No,NA,No,NA,NA,"Morning (7am - 11am),Late night or early morning (7pm - 7am)",Fishing for fun or sport,NA,"Yes, with a friend",NA,Section B (markers 108-146),Once or twice a month,NA,NA,All of them,Four of them,Agree,Somewhat agree,Disagree,Somewhat agree,Not effective at all,Slightly effective,Very effective,Slightly effective,Extremely effective,No,NA,NA,NA,NA,NA,NA,NA,NA
9/22/2023,Unregulated,R_092211,In Person,I agree,No,NA,24,Full-time,Male,"$50,001 - $75,000",Yes,33810,NA,NA,NA,Yes,2,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with a friend",NA,Section A (markers 147-172),A few times per year,NA,NA,All of them,Three of them,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Slightly effective,Not effective at all,Slightly effective,Not effective at all,Very effective,Yes,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Strongly agree
9/24/2023,Unregulated,R_092401,In Person,I agree,No,NA,64,Retired,Male,NA,Yes,33762,NA,NA,NY,No,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with a friend",NA,Section A (markers 147-172),A few times per year,One of them,Three of them,NA,NA,Strongly agree,Disagree,Disagree,Somewhat agree,Moderately effective,Moderately effective,Very effective,Slightly effective,Moderately effective,Yes,NA,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree
9/24/2023,Unregulated,R_092402,In Person,I agree,No,NA,59,Retired,Female,"$25,001 - $50,000",Yes,33981,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Watching friends or family fish",NA,"Yes, with a friend,Yes, with my spouse or significant other",NA,Section A (markers 147-172),A few times per year,Three of them,All of them,NA,NA,Strongly disagree,Somewhat disagree,Somewhat disagree,Disagree,Not effective at all,Not effective at all,Extremely effective,Not effective at all,Moderately effective,Yes,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree
9/24/2023,Unregulated,R_092403,In Person,I agree,No,NA,18,Part-time,Male,"$25,000 or less",Yes,34653,NA,NA,NA,Yes,12,No,NA,No,NA,No,NA,NA,"Morning (7am - 11am),Late night or early morning (7pm - 7am)",Fishing for fun or sport,NA,"Yes, with a parent or sibling",NA,Section B (markers 108-146),A few times per year,All of them,All of them,NA,NA,Somewhat agree,Somewhat disagree,Disagree,Disagree,Slightly effective,Slightly effective,Moderately effective,Moderately effective,Very effective,Yes,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Disagree,Strongly disagree
9/24/2023,Unregulated,R_092404,In Person,I agree,No,NA,43,Retired,Male,"$75,001 - $100,000",Yes,33572,NA,NA,NA,Yes,10,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"No, just me",NA,Section B (markers 108-146),A few times per year,One of them,All of them,NA,NA,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Extremely effective,Extremely effective,Extremely effective,Extremely effective,Extremely effective,Yes,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Agree
9/24/2023,Unregulated,R_092405,In Person,I agree,No,NA,27,Full-time,Male,NA,Yes,34114,NA,NA,NA,Yes,2,No,NA,No,NA,No,NA,NA,"Morning (7am - 11am),Late night or early morning (7pm - 7am)","Fishing for fun or sport,Watching friends or family fish",NA,"Yes, with a friend",NA,Section B (markers 108-146),A few times per year,Three of them,Three of them,NA,NA,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Moderately effective,Extremely effective,Extremely effective,Extremely effective,Moderately effective,No,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
9/24/2023,Unregulated,R_092406,In Person,I agree,No,NA,39,Full-time,Female,"$50,001 - $75,000",Yes,33948,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"Yes, with my children",NA,Section A (markers 147-172),A few times per year,NA,NA,Four of them,All of them,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Slightly effective,Slightly effective,Not effective at all,Not effective at all,Extremely effective,Yes,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Somewhat agree
9/24/2023,Unregulated,R_092407,In Person,I agree,No,NA,62,Full-time,Male,"$100,001 or more",Yes,34219,NA,NA,NA,Yes,5,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with my children",NA,Section A (markers 147-172),A few times per year,NA,NA,Four of them,Three of them,Somewhat agree,Disagree,Strongly disagree,Somewhat disagree,Not effective at all,Moderately effective,Moderately effective,Not effective at all,Very effective,Yes,Agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree
9/24/2023,Unregulated,R_092408,In Person,I agree,No,NA,57,Part-time,Female,"$100,001 or more",Yes,34203,NA,NA,NA,Yes,20,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with my spouse or significant other",NA,Section B (markers 108-146),Once or twice a month,NA,NA,One of them,All of them,Somewhat agree,Disagree,Disagree,Somewhat disagree,Slightly effective,Not effective at all,Slightly effective,Slightly effective,Moderately effective,No,NA,NA,NA,NA,NA,NA,NA,NA
9/24/2023,Unregulated,R_092409,In Person,I agree,No,NA,31,Full-time,Male,"$25,001 - $50,000",Yes,33705,NA,NA,NA,No,NA,No,NA,No,NA,Yes,Something else,"Not fed, eating bait",Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"No, just me",NA,Section B (markers 108-146),At least once a week,NA,NA,All of them,Three of them,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Not effective at all,Not effective at all,Slightly effective,Not effective at all,Extremely effective,Yes,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree
9/24/2023,Unregulated,R_092410,In Person,I agree,No,NA,19,Full-time,Male,"$25,001 - $50,000",Yes,34221,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with my spouse or significant other",NA,Section B (markers 108-146),At least once a week,NA,NA,Two of them,Four of them,Agree,Agree,Somewhat agree,Agree,Slightly effective,Moderately effective,Very effective,Not effective at all,Moderately effective,Yes,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
9/27/2023,Unregulated,R_092701,In Person,I agree,No,NA,44,Full-time,Male,"$25,000 or less",No,11226,Vacation or holiday,NA,NY,Yes,20,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"Yes, with a friend",NA,Section B (markers 108-146),A few times per year,Two of them,All of them,NA,NA,NA,Somewhat agree,Strongly disagree,Somewhat disagree,Moderately effective,Moderately effective,Extremely effective,Not effective at all,Very effective,No,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
9/27/2023,Unregulated,R_092702,In Person,I agree,No,NA,NA,Retired,Male,"$100,001 or more",Yes,34983,NA,NA,NA,Yes,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with my children",NA,Section A (markers 147-172),This is my first time at the pier,Two of them,Two of them,NA,NA,Agree,Agree,Strongly disagree,Strongly disagree,NA,Very effective,Very effective,Not effective at all,Not effective at all,NA,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree
9/27/2023,Unregulated,R_092703,In Person,I agree,No,NA,34,Full-time,Male,"$50,001 - $75,000",Yes,33647,NA,NA,NA,Yes,30,No,NA,No,NA,No,NA,NA,"Morning (7am - 11am),Late night or early morning (7pm - 7am)","Fishing for fun or sport,Fishing for my own food",NA,"No, just me",NA,Section A (markers 147-172),Once or twice a month,NA,NA,Three of them,Two of them,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Not effective at all,Not effective at all,Moderately effective,Very effective,Not effective at all,Yes,Disagree,Strongly disagree,Disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree
9/27/2023,Unregulated,R_092704,In Person,I agree,No,NA,34,Full-time,Male,"$75,001 - $100,000",Yes,34983,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with a parent or sibling",NA,Section A (markers 147-172),This is my first time at the pier,NA,NA,All of them,Two of them,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Not effective at all,Not effective at all,Extremely effective,Moderately effective,Very effective,NA,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree
9/30/2023,Unregulated,R_093001,In Person,I agree,No,NA,40,Full-time,Male,"$75,001 - $100,000",Yes,32792,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with a friend,Yes, with my children",NA,Section B (markers 108-146),Once or twice a month,Two of them,Three of them,NA,NA,Agree,Strongly agree,Somewhat agree,Agree,Slightly effective,Moderately effective,Extremely effective,Very effective,Very effective,No,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Agree
9/30/2023,Unregulated,R_093002,In Person,I agree,No,NA,30,Full-time,Male,"$75,001 - $100,000",Yes,37122,Business or work-related activities,NA,TN,Yes,20,No,NA,No,NA,No,NA,NA,"Morning (7am - 11am),Late night or early morning (7pm - 7am)","Fishing for fun or sport,Fishing for my own food,Watching friends or family fish",NA,"No, just me",NA,Section B (markers 108-146),Once or twice a month,All of them,Three of them,NA,NA,Somewhat agree,Agree,Agree,Somewhat agree,Moderately effective,Not effective at all,Slightly effective,Not effective at all,Extremely effective,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
9/30/2023,Unregulated,R_093003,In Person,I agree,No,NA,37,Full-time,Male,"$25,000 or less",Yes,33540,NA,NA,Zhells,Yes,20,No,2,No,NA,No,NA,NA,"Morning (7am - 11am),Late night or early morning (7pm - 7am)",Watching friends or family fish,Good spot,"Yes, with my children",Family,Section B (markers 108-146),A few times per year,None of them,One of them,NA,NA,Agree,Strongly agree,Strongly disagree,Agree,Slightly effective,Not effective at all,Extremely effective,Not effective at all,Extremely effective,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree
9/30/2023,Unregulated,R_093004,In Person,I agree,No,NA,24,Full-time,Male,"$25,000 or less",Yes,33760,NA,NA,NA,No,8,No,NA,No,NA,No,NA,NA,"Morning (7am - 11am),Late night or early morning (7pm - 7am)",Fishing for my own food,NA,"Yes, with a parent or sibling",NA,Section C (markers 73-107),At least once a week,All of them,All of them,NA,NA,Somewhat disagree,Strongly agree,Strongly disagree,Agree,Slightly effective,Not effective at all,Extremely effective,Extremely effective,Moderately effective,Yes,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Strongly agree,Somewhat agree
9/30/2023,Unregulated,R_093005,In Person,I agree,No,NA,27,Full-time,Male,"$50,001 - $75,000",Yes,33527,NA,NA,NA,Yes,10,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food,Fishing for food to sell,Watching friends or family fish",NA,"No, just me",NA,Section C (markers 73-107),Once or twice a month,Three of them,All of them,NA,NA,Disagree,Strongly agree,Strongly disagree,Agree,Slightly effective,Not effective at all,Slightly effective,Extremely effective,Not effective at all,Yes,Somewhat agree,Disagree,Strongly disagree,Strongly agree,NA,Somewhat agree,Strongly agree,Strongly disagree
